name,address,categories,rating,user_ratings_total,place_id,lat,lng,sources
El sazón de mamá Faty,"Luis Donaldo Colosio Murrieta 460-Local 15, Santa Catarina, Sin Nombre de Col 10, 66366 Cdad. Santa Catarina, N.L., 墨西哥",餐饮,4.9,12,ChIJfQl6SOyZYoYRWk98IjGlKCY,25.6891361,-100.4531311,小吃｜蒙特雷
Electrónica mayoreo y menudeo YI TONG,"15 de Mayo 105, Centro, 64000 Monterrey, N.L., 墨西哥",手机/电子/IT,,,ChIJcVm_QsC_YoYRlFs4JDXlUBg,25.6720797,-100.3153558,电子｜蒙特雷
Elen Chekhov Nails Studio Uñas Pestañas PediSpa Alaciado Manicura Pedicura,"Cruz de San Antonio 407, Hacienda Los Pinos I, 66636 Cdad. Apodaca, N.L., 墨西哥",美容/美发/美甲,4.9,53,ChIJS03JiVfrYoYRZ0SRtDfmpnM,25.7712545,-100.2489269,美甲｜蒙特雷
Elephant Thai foot SPa RefLexoLogia,"Río Vístula 337-Local 10, Del Valle, 66220 San Pedro Garza García, N.L., 墨西哥",按摩/养生,4.4,26,ChIJlWLL6-i9YoYRaqGltYi1H-E,25.6525538,-100.3627067,按摩｜蒙特雷
Emilia's Bakery,"Senda de La Paz 5823, Villa Las Fuentes, 64890 Monterrey, N.L., 墨西哥",甜品/茶饮,4.8,11,ChIJ6W-Lnma_YoYRGBWk_iT03kQ,25.6137272,-100.2675937,蛋糕｜蒙特雷
Enrique studio,"Santa Monica Sector 8, Jardines de la Silla, 67250 Jardines de la Silla, Nuevo Leon, 墨西哥",美容/美发/美甲,4.6,23,ChIJvdkyYSbBYoYRxdGMoejURcc,25.6183408,-100.1734463,发廊｜蒙特雷
ENVIOS ONLINE SA de CV,"Catamarca 2129, Residencial La Española, 64820 Monterrey, N.L., 墨西哥",物流/清关,,,ChIJdUMcc9O_YoYRWmoPg7cCvXo,25.6630114,-100.2732722,快递｜蒙特雷
Enya Spa,"Cl. Rafael Platón Sánchez 323, Centro, 64000 Monterrey, N.L., 墨西哥",按摩/养生,4.3,13,ChIJT4bx3yy-YoYRHQRtLpoUiW8,25.677108,-100.3024851,按摩｜蒙特雷
Estetica D'Iess,"Juárez, N.L. lagos de zirandaro calle río hondo, Moras #109b, 67250 nuevo León, N.L., 墨西哥",美容/美发/美甲,5,1,ChIJdVLv0U3CYoYRZs1cp5GVYY0,25.6417804,-100.1378151,美容｜蒙特雷
Estetica unisex VIA GLAM SALÓN & SPA,"Villa Las Fuentes 201 colonia, Villas del Poniente, 66023 Mitras Poniente, N.L., 墨西哥",美容/美发/美甲,4.9,28,ChIJf_MhI-2RYoYR4sh4imeyBJ0,25.7739227,-100.4254354,美容｜蒙特雷
Estetica Yuri Torres,"Pedro N. Perales 144, Pedregal de Santo Domingo, 66444 San Nicolás de los Garza, N.L., 墨西哥",美容/美发/美甲,4.5,22,ChIJuSuNKdGUYoYRWZM_VaixyWs,25.7313622,-100.2683263,发廊｜蒙特雷 | 理发｜蒙特雷
Estética Studio Libeauty,"Hacienda de Chiconcuac 357-A, Ex Hacienda El Rosario, Jardines de la Silla, 67288 Jardines de la Silla, N.L., 墨西哥",美容/美发/美甲,4.8,26,ChIJwcQJeIDDYoYRXJI48RcC5O8,25.6418315,-100.1700008,美容｜蒙特雷
Estética Unisex Hair Salon BARBER,"Francisco Villa 201 B, Tamaulipas, 67200 Guadalupe, N.L., 墨西哥",美容/美发/美甲,4.4,25,ChIJeQTP0mnCYoYRaGoo3dZaT1Q,25.6671774,-100.139697,理发｜蒙特雷 | 美发｜蒙特雷
Estética/ AM Hair Studio,"Av Magueyes, Av. Las Puentes 155, 14 sector, 66460 San Nicolás de los Garza, N.L., 墨西哥",美容/美发/美甲,4.6,14,ChIJ8QqgrOqVYoYRzniniSdTTMI,25.7496796,-100.2627536,发廊｜蒙特雷
Fabulosity barber & hair salón,"66026, Perla 353, Valle de Lincoln, N.L., 墨西哥",美容/美发/美甲,4.6,16,ChIJ24Obwq6bYoYRgH_hh43SNNo,25.793663,-100.4928987,理发｜蒙特雷
Fanny Nails & Hair Salón,"Villa Antonieta 365A, VILLAS REGINA, 66653 Pesquería, N.L., 墨西哥",美容/美发/美甲,4.3,6,ChIJ2VwSyqflYoYRg7WjCJnQcDQ,25.796813,-100.0553212,美甲｜蒙特雷
FARMACIA,"Bosques Real I, 66612 阿波达卡新萊昂州墨西哥",医疗/中医,,,ChIJUaeoqrzsYoYRqx5ZlBYP4Fc,25.785465,-100.2431671,药房｜蒙特雷
Farmacia Guadalajara,"Av. Benito Juárez 893, Centro, 64000 Monterrey, N.L., 墨西哥",零售/超市,3.9,212,ChIJ7TORBXyVYoYRWxOUXSDP0_w,25.6829755,-100.3133663,食品店｜蒙特雷
Farmacia Guadalajara Suc San Agustin,"Av. Real San Agustin 222, Zona San Agustín, 66260 San Pedro Garza García, N.L., 墨西哥",零售/超市,4.3,16,ChIJf0n7oxK-YoYRrit-PJsEA9s,25.6505918,-100.3386107,食品店｜蒙特雷
Farmacia La Milagrosa,"Sierra Ventana (Revolución Proletaria), 64788 蒙特雷新萊昂州墨西哥",医疗/中医,2,1,ChIJGT_FQoq_YoYRiwhti-KzT68,25.6347152,-100.2880013,药房｜蒙特雷
Fashion Hair,"Real de Cumbres 611, Real Cumbres, 64346 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.3,23,ChIJuZJXcy-XYoYRKoyR5TyUZJo,25.753865,-100.4036947,发廊｜蒙特雷 | 理发｜蒙特雷
FedEx World Service Center Las Torres,"Av Lázaro Cárdenas 4037, La República, 64900 Monterrey, N.L., 墨西哥",物流/清关,3.2,17,ChIJ-RptSXa_YoYRVXAkdqbxQiE,25.6282571,-100.2974159,快递｜蒙特雷
FENG FA Buffet Libre,"Av. Miguel Alemán 5329, 67125 Guadalupe, N.L., 墨西哥",餐饮,4.8,460,ChIJMbI3egDrYoYREpzjxiHgzNk,25.6937689,-100.2422256,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Feng lin comida china express,"Av Abraham Lincoln #5253, L16E Ampliación, San Jorge, 64330 Monterrey, N.L., 墨西哥",餐饮,3.9,77,ChIJITLBB3iXYoYRcMh5uZt6Xvk,25.7257072,-100.3673263,中餐馆｜蒙特雷
FM Salón (Estética unisex),"C. Alamillo 128, Los Encinos, 67275 Cdad. Benito Juárez, N.L., 墨西哥",美容/美发/美甲,5,2,ChIJnSr4lQLDYoYRi8zIdTukSSo,25.6442488,-100.117258,理发｜蒙特雷 | 美发｜蒙特雷
Fonda China,"Cinemex Garza Sada, Av. Eugenio Garza Sada Sur, Altavista, Sin Nombre de Col 42, 64845 Monterrey, N.L., 墨西哥",餐饮,4.1,81,ChIJX9pj0ry_YoYRkTYZBDvxE2s,25.6418131,-100.2858342,中餐馆｜蒙特雷 | 中餐｜蒙特雷 | 火锅｜蒙特雷
Garfix Computers,"Av Lerdo de Tejada 378, Residencial los Tabachines, 66428 Monterrey, N.L., 墨西哥",手机/电子/IT,4.5,41,ChIJZWukflyUYoYR13H_LWSssAQ,25.7582122,-100.3023035,电脑｜蒙特雷
Gold Nail Bar,"1a Avenida 901, Vista Hermosa, 64610 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.7,33,ChIJkQdnmkKXYoYRiLwV_2aUT4Q,25.7008932,-100.3701686,美甲｜蒙特雷
Gold Nail Bar,"Carretera Nacional, Palmares 800-Local 16, Palmares residencial, 64987 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.9,19,ChIJa_ftMqrHYoYR26LGPbcVnG0,25.5712295,-100.2427641,美甲｜蒙特雷
Gong cha,"Av. Ricardo Margain Zozaya 275, Santa Engracia, 66267 San Pedro Garza García, N.L., 墨西哥",甜品/茶饮,4.5,74,ChIJzQ9HXua9YoYRcuBi6X5xD7o,25.6587454,-100.3528011,奶茶｜蒙特雷 | 茶饮｜蒙特雷
GONG CHA,"Las Torres Ote. 133, Miguel Alemán, 66470 San Nicolás de los Garza, N.L., 墨西哥",甜品/茶饮,4.2,68,ChIJocWUmTzrYoYRE4wjJQDYaPM,25.7196616,-100.2204109,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Gong cha Cordillera MTY,"Eje Exterior 10, Fracc. Via, Cordillera Residencial Fase Uno, 66196 Cdad. Santa Catarina, N.L., 墨西哥",甜品/茶饮,4.4,61,ChIJZe-0M5ujYoYRlR1Jt9nz6rg,25.6579461,-100.4401292,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Gong Cha Cumbres,"Av Paseo de los Leones 3201, Colonial Cumbres, 64349 Monterrey, N.L., 墨西哥",甜品/茶饮,4.7,91,ChIJxyllLeiXYoYR2grNx74qzGQ,25.7324737,-100.396699,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Gong Cha Galerias Liverpool Monterrey,"Dentro de Liverpool Galerías, area de dulcería, Av Insurgentes 2500, Vista Hermosa, 64620 Monterrey, N.L., 墨西哥",甜品/茶饮,4.6,309,ChIJnfMyyCiXYoYRZ1xn7qpToYc,25.6821866,-100.3537399,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Gong cha Omnia Monterrey,"Dentro de Plaza Omnia, Villas Del Uro 140, Sin Nombre de Col 50, 64986 Monterrey, N.L., 墨西哥",甜品/茶饮,4.4,96,ChIJa1xS_snHYoYR9C5n926Iw0Q,25.5562652,-100.2350921,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Gong cha Paseo La Fé,"Av. Miguel Alemán 200, Sin Nombre de Col 34, 66470 San Nicolás de los Garza, N.L., 墨西哥",甜品/茶饮,4.6,156,ChIJ5VUp2yLrYoYRrM1F_3AokWE,25.720185,-100.2190119,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Gong Cha Tec,"Eugenio Garza Sada 2411 tr 2 Colonia Roma Local #21 Planta baja, 64700 Monterrey, N.L., 墨西哥",甜品/茶饮,4.5,120,ChIJdRbk6ny_YoYRkJ_Q5S1pPHs,25.6545387,-100.2931394,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Good Guy's Barber Shop,"Nardos 108, Paraje San José, sector flores, 66023 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.9,16,ChIJT4CrCUSRYoYRJnm4_nFDoes,25.7952852,-100.4305368,理发｜蒙特雷
Good Luck,"Av. Dr. José Eleuterio González 36, Mitras Nte., 64320 Monterrey, N.L., 墨西哥",餐饮,4,11,ChIJu6Z-6ZKVYoYR-a5v4Ua-RXU,25.7146542,-100.3484973,中餐馆｜蒙特雷 | 中餐｜蒙特雷
GT+logistics - Monterrey,"Parque Industrial FINSA Industrial Park Servidumbre de paso N°3195 Parque Industrial FINSA Industrial Park, 66350 Cdad. Santa Catarina, N.L., 墨西哥",物流/清关,4.6,18,ChIJhbNkHRLsYoYRiCEuynq0Zpg,25.7185961,-100.5303563,物流｜蒙特雷
H & P Auto Care Experts,"Valle de Guadalupe 2500, Valle de Chapultepec, 67140 Monterrey, N.L., 墨西哥",汽车/维修,4.5,12,ChIJPeThC_C_YoYRo_9-FteGaxQ,25.6609073,-100.2697922,修车｜蒙特雷
H&T ELECTRONIC TECHNOLOGY MEXICO,"墨西哥 Nuevo León, Cdad. Apodaca, AEROPUERTO邮政编码: 66626",手机/电子/IT,5,1,ChIJYbSpQQDpYoYRYkfeKqqz1N0,25.7636878,-100.1291534,电子｜蒙特雷
H-E-B Bosque De Las Lomas,"Ave. Paseo de los Leones y Ave. Bosque de las Lomas, 66035 Mitras Poniente, N.L., 墨西哥",餐饮,4.1,224,ChIJ8xcfz0iXYoYRTuIzPD--L1Y,25.755627,-100.437364,mala tang｜蒙特雷
H-E-B Chipinque,"Av. Manuel Gómez Morín 300, Zona la Alianza, 66278 San Pedro Garza García, N.L., 墨西哥",零售/超市,4.6,4132,ChIJBUiL5ee9YoYRmTAmBErMUMw,25.649388,-100.360453,超市｜蒙特雷
Hair Loft,"Av. Junco de la Vega 3221, Valle Primavera, Distrito Tec, 64830 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.5,13,ChIJW70Beb6_YoYRAtBfcveYa8A,25.648069,-100.2847478,发廊｜蒙特雷
Hair Studio Concept,"Av. Bosque de las Lomas 122, Las Lomas Sector Bosques, 66024 Mitras Poniente, N.L., 墨西哥",美容/美发/美甲,5,10,ChIJb2dDh4-RYoYRV4E8Q2K8Y9E,25.7691625,-100.4282297,发廊｜蒙特雷 | 理发｜蒙特雷 | 美发｜蒙特雷
Hair33 Sturdio,"Av. Anillo Periférico 1822 Plaza Ovidios, Hacienda San Jerónimo, 64637 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.4,59,ChIJfeUgi32XYoYRvanKz2dtwlQ,25.6932871,-100.3786485,发廊｜蒙特雷 | 美发｜蒙特雷
hair_salon,"Carr. Apodaca - Sta. Rosa 111, Sin Nombre de Col 28, 66605 Cdad. Apodaca, N.L., 墨西哥",美容/美发/美甲,,,ChIJkSsKtG3sYoYRK5pTVbybGkg,25.791552,-100.1965026,发廊｜蒙特雷 | 理发｜蒙特雷
Haircut Mx,"Av. Benito Juárez 117, Ex Hacienda el Cañada, 66050 Cdad. Gral. Escobedo, N.L., 墨西哥",美容/美发/美甲,4.9,20,ChIJdQ_hCzSXYoYRj42wD1t8GOE,25.7816037,-100.2908923,理发｜蒙特雷
HEB,"Av. Privadas de Anáhuac 1001, Privadas de Anáhuac, Cerrada de Anáhuac Residencial, 66059 Cdad. Gral. Escobedo, N.L., 墨西哥",零售/超市,,,ChIJ-cLSUQCVYoYRzUnuIMKPf6U,25.7712044,-100.2753412,超市｜蒙特雷
HEE LED Lighting,"Av. Francisco I. Madero 721-A, Centro, 64000 Monterrey, N.L., 墨西哥",手机/电子/IT,4.6,22,ChIJBT_gPU2VYoYRyEZtMzgVI4Y,25.6849044,-100.3192835,电子｜蒙特雷
Hello Salon,"Avenida las Americas 1308, Puesta del Sol, 67141 Guadalupe, N.L., 墨西哥",美容/美发/美甲,4.7,87,ChIJ75DIqAnAYoYRUcm-9dhU8SE,25.6635678,-100.2578819,美发｜蒙特雷
"hello, NAILS, SPA & HAIR","Terraza 301, Barrio San Carlos, 64102 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.8,30,ChIJWb-0osyRYoYRn02hBuvCvzs,25.7699204,-100.3951082,美甲｜蒙特雷
HI CHA ESCOBEDO,"Los Girasoles SN_S, Los Girasoles 1er Sector, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",零售/超市,5,2,ChIJpRGTDwCTYoYRv7d9UIEkLsY,25.7904776,-100.3243964,食品店｜蒙特雷
HICHA 槑茶,"plaza bella Anáhuac, Av. Sendero Divisorio 1001, Privadas de Anáhuac, Cerrada de Anáhuac Residencial, 66059 Monterrey, N.L., 墨西哥",甜品/茶饮,4,1,ChIJZ8SFI0yVYoYRLui2vrnVxOQ,25.7711618,-100.2736388,bubble tea｜蒙特雷 | milk tea｜蒙特雷 | 奶茶｜蒙特雷 | 茶饮｜蒙特雷
home china,"Bodega Aurrera, Av. San Juan Lote 附近，靠近, Sector San Juan, 65776 Valle de Santa Elena, N.L., 墨西哥",零售/超市,,,ChIJZwVyElHvYoYRCz9IV1WTS2Q,25.8499877,-100.1339801,百货｜蒙特雷
Honey Bubble Tea,"Sierra de Sta. Clara 115, Las Puentes 1er Sector, 66460 San Nicolás de los Garza, N.L., 墨西哥",甜品/茶饮,5,4,ChIJP3pyzPuVYoYRKdAnuf8Adug,25.7465799,-100.2931985,奶茶｜蒙特雷
Hong Fat,"Av. Real San Agustin 222, Zona San Agustín, 66260 Monterrey, N.L., 墨西哥",餐饮,4.2,26,ChIJlY5GSG2-YoYR2aWvCKuYCRg,25.650925,-100.3384225,中餐｜蒙特雷
Hot dogs george,"C. Novena, La Esperanza, Hector Caballero, 67275 Héctor Caballero, N.L., 墨西哥",餐饮,5,1,ChIJQxEdYQDDYoYRMIPsAxob_ng,25.6387869,-100.124095,hot pot｜蒙特雷
Hotel y Lavanderia Luxury,"Mariano Escobedo El N-1022-A, Centro, 64000 Monterrey, N.L., 墨西哥",按摩/养生,4.5,24,ChIJ_dj2cQKVYoYRDwj_KHCk340,25.6838942,-100.3095002,按摩｜蒙特雷
Huayuan Buffet 华苑,"Av Paseo de los Leones 1001, Cumbres Madeira, 64349 Monterrey, N.L., 墨西哥",餐饮,3.9,572,ChIJWw1zSACXYoYRNDB7oNP8sgc,25.7423426,-100.4084143,mala tang｜蒙特雷
Hugo's Workshop,"Santa Catarina, Sin Nombre de Col 3, 66362 圣卡塔琳娜 Nuevo Leon, 墨西哥",汽车/维修,4.7,13,ChIJq6qqmhaYYoYRjZsq9-vOqAY,25.6860681,-100.4566317,修车｜蒙特雷
Huixin,"Benito Juárez 601, La Huerta, 67140 Guadalupe, N.L., 墨西哥",餐饮,4.5,2,ChIJ2bGtHADrYoYRZrM1KgiIs2g,25.6804315,-100.2517673,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Idol Hair Salón,"Gral. Nicolás Bravo 650, Centro, 66400 San Nicolás de los Garza, N.L., 墨西哥",美容/美发/美甲,4.7,54,ChIJP28PHZOUYoYR_1i96leXwig,25.7550983,-100.2966483,发廊｜蒙特雷 | 美发｜蒙特雷
ILAN Ramen & Sushi,"Av. Benito Juárez 301, Col. La Encomienda, Misión de Anáhuac, 66400 Cdad. Gral. Escobedo, N.L., 墨西哥",餐饮,4.8,439,ChIJj70CF1yTYoYRE0K0yLDDhVM,25.7802687,-100.2823579,拉面｜蒙特雷
iwan ramen house,"Av. Revolución 3985-Local 15, Contry, 64850 Monterrey, N.L., 墨西哥",餐饮,4.7,855,ChIJiSNtSYa_YoYRpkWPfhmcWYE,25.634133,-100.2721741,jiao zi｜蒙特雷 | jiaozi｜蒙特雷 | 拉面｜蒙特雷
Izakaya Ryo,"Ojo de Agua 501-MZ 161 LT 1, Privadas Borneo, 66600 Cdad. Apodaca, N.L., 墨西哥",餐饮,4.9,315,ChIJERF2YgDrYoYRfKFPSVBxTOY,25.7703165,-100.2146569,拉面｜蒙特雷
Jacqueline Coronel Hair Design,"Plaza Eloy, Av Eloy Cavazos 2401-Local 77, Planta Alta, Las Villas, 67175 Guadalupe, N.L., 墨西哥",美容/美发/美甲,5,2,ChIJzQ9XoHbBYoYR1sKFYX_nKL8,25.6622674,-100.2372473,美发｜蒙特雷
Jeshi MTY Ramen & Boba Tea,"Plaza fiesta anáhuac, Av. Manuel L. Barragán, Anáhuac, 66457 San Nicolás de los Garza, N.L., 墨西哥",甜品/茶饮,2.9,50,ChIJe3dSOwCVYoYRrJFKUiQqOjc,25.7428986,-100.3132965,boba｜蒙特雷
Jeshi Ramen & Boba Tea,"PQGM+4F, Sin Nombre de Col 34, 66477 San Nicolás de los Garza, N.L., 墨西哥",餐饮,3.7,285,ChIJDy-H9oTrYoYRC5WD2xyyN-U,25.7258494,-100.2162634,boba｜蒙特雷 | bubble tea｜蒙特雷 | milk tea｜蒙特雷 | 奶茶｜蒙特雷 | 拉面｜蒙特雷
Jeshi Ramen & Boba Tea Almenares,"Anáhuac Sendero, 66418 San Nicolás de los Garza, Nuevo Leon, 墨西哥",甜品/茶饮,3.4,17,ChIJB9HWPACVYoYRnqxEUzrPpLU,25.7684977,-100.2772067,boba｜蒙特雷
JI XIANG,"Guadalajara Dr. Alfredo Piñeyro Lopez 1024, Mitras Sur, 64020 Monterrey, N.L., 墨西哥",餐饮,4.6,1592,ChIJoe-jHOOVYoYRd3nRHvibm-Y,25.6865388,-100.3466315,jiao zi｜蒙特雷 | xiaolongbao｜蒙特雷 | 中餐馆｜蒙特雷 | 中餐｜蒙特雷 | 小吃｜蒙特雷 | 饺子｜蒙特雷
Jia Fu COMIDA CHINA,"Calle, Emilio Carranza, Barrio Antiguo, 64000 Monterrey, N.L., 墨西哥",餐饮,4.6,990,ChIJKSVG_S6-YoYRXuWX7waND9g,25.667023,-100.3132369,中餐馆｜蒙特雷 | 中餐｜蒙特雷
JIA XING COMIDA CHINA CANTONESA,"Av. José Vasconcelos 661, Del Valle, 66220 San Pedro Garza García, N.L., 墨西哥",餐饮,4.6,119,ChIJxU1gKnu9YoYRmR_KC8A0tSA,25.6562239,-100.386784,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Jiexin,"Vicente Guerrero 2500, Col Del Prado, 64520 Monterrey, N.L., 墨西哥",餐饮,2.1,19,ChIJ5WsIHQCVYoYR_yYv7HxuVv4,25.702046,-100.3078127,jiao zi｜蒙特雷
Jin Quan Chinese Restaurant,"Venustiano Carranza Sur 1818-Local 14, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4.5,295,ChIJBbIadPSVYoYRZrxSSQPtfpE,25.6791129,-100.3309528,中餐馆｜蒙特雷
Jin Ramen,"José María Morelos 101-128, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4,344,ChIJNXRbTOe_YoYRRa7Zh1xju3w,25.6682499,-100.3149417,jiao zi｜蒙特雷 | jiaozi｜蒙特雷 | 拉面｜蒙特雷
Jin Ultra Ramen,"Av. Ricardo Margain Zozaya 273, Santa Engracia, 66220 San Pedro Garza García, N.L., 墨西哥",餐饮,4.2,327,ChIJm-tfQVK9YoYRMSSsmdizGZk,25.6586583,-100.3531568,拉面｜蒙特雷
JIXIANG,"Sin Nombre de Col 26, 66603 Ciudad Apodaca, Nuevo Leon, 墨西哥",零售/超市,5,1,ChIJ9TXHxofrYoYROHerjrKoPl8,25.776468,-100.1858743,食品店｜蒙特雷
Johwa Spa centro de bienestar,"Vista Regia 335, Linda Vista, 67123 Guadalupe, N.L., 墨西哥",按摩/养生,5,6,ChIJoZYEtSHrYoYRJ7plkVTscVk,25.6921923,-100.2576847,按摩｜蒙特雷
Joker Tortas & Burgers (Morelos),"José María Morelos Poniente. 125, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4.3,1492,ChIJqf7_L8OpgIYRjUWM62i4qXU,25.6679195,-100.31587,mala tang｜蒙特雷
Kadan,"Av Paseo de los Leones 608-5, Cumbres 1º Sector, 64610 Monterrey, N.L., 墨西哥",餐饮,4.5,665,ChIJGVSMqm-WYoYRG6lKJ5WT6ZY,25.6993593,-100.3629775,jiaozi｜蒙特雷
Kaiyue Comida China,"Av. Cabezada 2000, Mirasol 1o., 64102 Monterrey, N.L., 墨西哥",餐饮,5,3,ChIJN2WydACRYoYRIEDsobWYOyg,25.7767242,-100.3846091,中餐馆｜蒙特雷
KANSAS,"Av. Roberto G. Sada 127, Lagrange, 66490 San Nicolás de los Garza, N.L., 墨西哥",餐饮,4.5,574,ChIJQ_vVHyyVYoYRSYyrewYNszg,25.7181258,-100.2656251,jiao zi｜蒙特雷 | jiaozi｜蒙特雷
Karuna Masajes,"Federico García Lorca 742, Jardín Español, 64820 Monterrey, N.L., 墨西哥",按摩/养生,4.8,9,ChIJqQfKg8K_YoYRSjyJLAYFCvM,25.6630357,-100.2826717,按摩｜蒙特雷
Kathya Escobedo Nails And More,"Av. Montaña 480, Infonavit Huasteca Tres, 66354 Cdad. Santa Catarina, N.L., 墨西哥",美容/美发/美甲,4.9,28,ChIJlYeVEaaiYoYR96syufXyt5E,25.6601862,-100.4518619,美甲｜蒙特雷
Kawaiyou Boba - Tapioca/DimSum/HotPot,"Bosques de Siberia 50-L-35, Bosques del Valle 1er Sector, 66250 San Pedro Garza García, N.L., 墨西哥",餐饮,4.5,44,ChIJr6LBi_C9YoYRe2AjN8pCl0A,25.6511028,-100.3744502,hotpot｜蒙特雷 | huo guo｜蒙特雷 | huoguo｜蒙特雷 | jiao zi｜蒙特雷 | mala tang｜蒙特雷 | malatang｜蒙特雷 | xiaolongbao｜蒙特雷 | xiaolong｜蒙特雷 | 火锅｜蒙特雷 | 麻辣烫｜蒙特雷
KENIA SALON,"Villas Buena Vista, 66583 Buena Vista, Nuevo Leon, 墨西哥",美容/美发/美甲,4.6,9,ChIJNzLRV92PYoYRNd9xLtcQNQE,25.8627117,-100.3736801,发廊｜蒙特雷
Khinkali Dumplings,"Juan Álvarez 425, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4.7,9,ChIJof6Rwhi_YoYRUYyxhgVuvRE,25.6738662,-100.3242147,饺子｜蒙特雷
Kika's Salon & Peluqueria,"Prolongacion Ruiz Cortinez 1000, Plaza Malibú, 64349 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.6,145,ChIJOVBMU86RYoYRXd2Q2BjJTXY,25.7686526,-100.4241324,发廊｜蒙特雷
Kim Beauty,"Sierra Volcánica 305, 66646 Cdad. Apodaca, N.L., 墨西哥",美容/美发/美甲,4.4,5,ChIJL3C94cr_0YURwlPfwse124E,25.7561346,-100.1490309,美容｜蒙特雷
Kingmoto Monterrey,"Vicente Guerrero 1701, Treviño, 64570 Monterrey, N.L., 墨西哥",汽车/维修,5,5,ChIJ186AWgCVYoYRfR0OdOJy9lM,25.6910663,-100.3112094,汽车｜蒙特雷 | 维修｜蒙特雷
KR Hair Beauty,"Calle Prof. Luis Tijerina Almaguer 1202, Ancón del Huajuco, 64820 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.8,13,ChIJA3rFkDS_YoYRJlMDdnw7IN8,25.6606765,-100.2724195,理发｜蒙特雷 | 美发｜蒙特雷
Kuchen Alta Repostería,"Esq, Avenida Humberto Lobo, Río Amazonas 513-1, Del Valle, 66220 Monterrey, N.L., 墨西哥",甜品/茶饮,4.4,425,ChIJF2af14i9YoYRkIlPP8QSTqA,25.6650911,-100.3807615,蛋糕｜蒙特雷
Kung-Fu Ramen,"Av. Sendero Divisorio 1001, Privadas de Anáhuac, Cerrada de Anáhuac Residencial, 66059 Cdad. Gral. Escobedo, N.L., 墨西哥",餐饮,4.3,44,ChIJBYspWQCVYoYRvPNBMGRbUW4,25.7713053,-100.2753402,面馆｜蒙特雷
La Botíka,"Ebanos II, 66612 阿波达卡新萊昂州墨西哥",医疗/中医,,,ChIJbUafl6HsYoYRm_tjYVW5to4,25.7785688,-100.2395751,药房｜蒙特雷
LA FARMACIA,"Valle del Mirador, 64750 蒙特雷新萊昂州墨西哥",医疗/中医,,,ChIJocDtllG-YoYRvzYZjoAKdhU,25.6381788,-100.3116781,药房｜蒙特雷
La Huasteca,"Garza Ayala 105, Cabecera Municipal, 66000 García, N.L., 墨西哥",餐饮,3.9,67,ChIJ0aM88ACdYoYROCr_PMldOlQ,25.8114251,-100.5951219,mala tang｜蒙特雷
La Parrillita Restaurante,"5 de Mayo 215, Sin Nombre de Col 28, 66605 Cdad. Apodaca, N.L., 墨西哥",餐饮,4.7,3,ChIJz0J0TPTtYoYRfcilovVsz98,25.7916161,-100.1922888,hot pot｜蒙特雷
"LABELLA HAIR, 라벨라 헤어, 몬테레이 한인 미용실","Parque Industrial, Av. Isidoro Sepulveda, J. M. 690-Local 20 (Piso 2do, 66633 Cdad. Apodaca, N.L., 墨西哥",美容/美发/美甲,4.8,6,ChIJOWUCaALrYoYRo429xbzn0S0,25.7418946,-100.217318,理发｜蒙特雷
Laura Flores Salon & Peluquería,"La Paloma, Valle Del Roble, Residencial Roble 6to Sector, 66417 San Nicolás de los Garza, N.L., 墨西哥",美容/美发/美甲,5,11,ChIJnQd6EvqVYoYRtASSsGBprfQ,25.76054,-100.27252,美发｜蒙特雷
Lb uñas y mas,"Av. Sierra Madre 318, Villas del Poniente, Mitras Poniente, 66023 Mitras Poniente, N.L., 墨西哥",美容/美发/美甲,4.7,35,ChIJh1FqhqGQYoYRVm-4Nohf-AA,25.7810955,-100.4342967,美甲｜蒙特雷
Lena Beauty Salón,"C. Paseo de las Fuentes 4412, Villa Las Fuentes, 64890 Monterrey, N.L., 墨西哥",美容/美发/美甲,3.7,3,ChIJo5ajsjK_YoYRG-wzPTeBDz0,25.6112692,-100.265936,美容｜蒙特雷
